aff_name,lat,lon
Yale School of Medicine,41.3027,-72.936
Universidade Federal De Santa Catarina,-27.598,-48.5162
Capital Medical University,47.0423,-122.951
Queen S University Belfast,54.5844,-5.93438
Cancer Research Institute,51.3443,-0.18921
University of North Carolina At Chapel Hill,35.9087,-79.0301
New York University School of Medicine,40.7481,-73.9704
Czech Technical University In Prague,50.1022,14.3885
Wayne State University,42.3568,-83.0649
Chonbuk National University,36.629,127.457
Rockefeller University,40.763,-73.9565
University of California,37.8022,-122.271
Stmicroelectronics,28.4872,77.493
Delft University of Technology,52.0055,4.36933
Virginia Tech,37.2279,-80.4223
Imec,50.8653,4.67932
University of Los andes,3.37164,-76.5296
University of Vienna,48.2039,16.3167
University of Sydney,-33.8848,151.191
New Jersey Institute of Technology,40.7428,-74.1762
Gunadarma University,7.37678,80.5005
King Fahd University of Petroleum and Minerals,26.31,50.1486
University of Central Florida,28.5988,-81.2025
Tsinghua University,39.9919,116.313
Cleveland Clinic,41.5029,-81.6215
University of Dusseldorf,51.1917,6.79318
Laval University,46.7798,-71.2695
Johns Hopkins Bloomberg School of Public Health,39.2979,-76.5908
California Institute of Technology,34.1359,-118.126
Hunan University,28.1803,112.953
Kaohsiung Medical University,22.649,120.31
Ajou University,37.2813,127.046
University of Minnesota,44.9776,-93.2357
Osaka City University,34.5876,135.507
Leipzig University,51.3386,12.3798
James Cook University,-19.326,146.757
Radboud University Nijmegen,51.8231,5.8625
University of New Mexico,35.0834,-106.62
University of Nebraska Lincoln,40.8175,-96.7014
Mahidol University,13.7945,100.326
University of Louisville,38.2135,-85.7573
University of Sao Paulo,-23.5607,-46.7218
Cardiff University,51.4875,-3.18038
Brunel University London,51.5331,-0.4684
University of Pittsburgh School of Medicine,40.4431,-79.9613
University of Florence,43.7777,11.2593
Loyola University Chicago,41.9983,-87.6573
University of Houston,29.7216,-95.3438
Trinity College,43.6678,-79.3986
University of Parma,39.6359,2.64702
Polytechnic University of Turin,45.0626,7.66252
Shanghai University,31.3183,121.387
University of Crete,35.3418,25.1312
Massey University,-40.3848,175.617
Mie University,34.7463,136.523
National Taiwan University of Science and Technology,25.014,121.541
University of Bradford,53.7909,-1.76341
Kyoto Prefectural University of Medicine,35.0228,135.77
Shanghai Jiao Tong University,31.2052,121.426
Humboldt University of Berlin,52.5174,13.3937
University of Geneva,46.1944,6.1409
Rutgers University,40.5017,-74.4481
Ben Gurion University of The Negev,31.263,34.8022
Kanazawa University,36.5625,136.656
Genetics Institute Inc,42.3953,-71.1494
Wellcome Trust,39.735,-77.7264
Worcester Polytechnic Institute,42.2727,-71.8079
University of Georgia,33.9572,-83.3741
University of New Brunswick,45.946,-66.641
Department of Biotechnology,23.0375,72.5442
University of Paris,48.8502,2.34363
Istituto Superiore Di Sanita,-31.6549,-60.7077
University of South Carolina,33.9983,-81.028
Nanjing University of Science and Technology,32.0333,118.852
University of Trento,46.0694,11.1211
Nankai University,39.1011,117.165
Florida State University,30.4407,-84.2909
University of South Florida,28.0611,-82.4131
Dresden University of Technology,51.0271,13.7265
Newcastle University,54.9796,-1.6144
University of Bath,51.3768,-2.32504
Sungkyunkwan University,37.5872,126.994
Jadavpur University,22.4959,88.3712
Tampere University of Technology,61.4498,23.8591
Ludwig Maximilian University of Munich,48.1504,11.5806
Harvard Medical School,42.3355,-71.1045
Beijing University of Chemical Technology,39.9689,116.415
University of Bristol,51.4597,-2.60523
Lanzhou University,36.0466,103.858
Inaf,22.0681,88.1371
Middle East Technical University,39.8914,32.7847
Aarhus University,56.1693,10.1982
Gunma University,36.4303,139.045
University of Granada,61.1043,-94.0348
Cinvestav,19.5072,-99.1288
University of Massachusetts Amherst,42.3858,-72.5226
Istanbul Technical University,41.1072,29.0209
Chung Ang University,37.5089,126.964
